,Operatore,Profilo,Velocità (down/up),Territorio,Periodo,Tipo,Media,Dev. Std.,Min,Max,TP%,Misure,Anno
10,Eolo,Formula,"
7,0Mbps512.0kbps
",Piemonte,"
Gen2014Giu2014
",Ping,12ms,"4,9", ,"
15ms
",0%,14005,2014
11,Eolo,Formula,"
7,0Mbps512.0kbps
",Piemonte,"
Gen2014Giu2014
",Upload,502.0kbps,"8,1",501.0kbps,503.0kbps,,27972,2014
12,Fastweb,"Superjet,Joy,Jet","
6,0Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Ping,0ms,0, ,"
ms
",0%,0,2014
13,Fastweb,"Superjet,Joy,Jet","
8,2Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Ping,0ms,0, ,"
ms
",0%,0,2014
14,Fastweb,"Superjet,Joy,Jet","
10,0Mbps10,2Mbps
",Piemonte,"
Gen2014Giu2014
",Download,"9,4Mbps","163,9","9,4Mbps","9,4Mbps",,38340,2014
15,Fastweb,"Superjet,Joy,Jet","
10,0Mbps10,2Mbps
",Piemonte,"
Gen2014Giu2014
",Ping,7ms,"4,1", ,"
9ms
",0%,19158,2014
16,Fastweb,"Superjet,Joy,Jet","
10,0Mbps10,2Mbps
",Piemonte,"
Gen2014Giu2014
",Upload,"9,2Mbps","186,5","9,1Mbps","9,4Mbps",,38260,2014
17,Fastweb,"Superjet,Joy,Jet","
12,0Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Ping,0ms,0, ,"
ms
",0%,0,2014
18,Fastweb,"Superjet,Joy,Jet","
16,0Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Ping,0ms,0, ,"
ms
",0%,0,2014
19,Fastweb,"Superjet,Joy,Jet","
20,0Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Download,"16,4Mbps","735,1","16,0Mbps","16,6Mbps",,39439,2014
20,Fastweb,"Superjet,Joy,Jet","
20,0Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Ping,30ms,"3,8", ,"
31ms
",0%,19737,2014
21,Fastweb,"Superjet,Joy,Jet","
20,0Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Upload,864.0kbps,"1,6",861.0kbps,865.0kbps,,39370,2014
22,TIM,TIMSuperADSL,"
7,0Mbps384.0kbps
",Piemonte,"
Gen2014Giu2014
",Download,"6,6Mbps","377,9","6,6Mbps","6,6Mbps",,29814,2014
23,TIM,TIMSuperADSL,"
7,0Mbps384.0kbps
",Piemonte,"
Gen2014Giu2014
",Ping,46ms,"2,3", ,"
46ms
",0%,14898,2014
24,TIM,TIMSuperADSL,"
7,0Mbps384.0kbps
",Piemonte,"
Gen2014Giu2014
",Upload,398.0kbps,"1,6",398.0kbps,399.0kbps,,29800,2014
25,TIM,TIMSuperADSL,"
10,0Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Download,"9,3Mbps","244,2","9,2Mbps","9,4Mbps",,30817,2014
26,TIM,TIMSuperADSL,"
10,0Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Ping,31ms,"4,3", ,"
31ms
",0%,15410,2014
27,TIM,TIMSuperADSL,"
10,0Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Upload,967.0kbps,5,964.0kbps,968.0kbps,,30820,2014
28,Tiscali,None,"
100,0Mbps20,0Mbps
",Piemonte,"
Gen2014Giu2014
",Ping,0ms,0, ,"
ms
",0%,0,2014
29,Tiscali,TuttoIncluso,"
7,0Mbps384.0kbps
",Piemonte,"
Gen2014Giu2014
",Ping,0ms,0, ,"
ms
",0%,0,2014
30,Tiscali,TuttoIncluso,"
8,0Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Download,"7,0Mbps","65,1","6,9Mbps","7,0Mbps",,34147,2014
31,Tiscali,TuttoIncluso,"
8,0Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Ping,24ms,119, ,"
21ms
",0%,17013,2014
32,Tiscali,TuttoIncluso,"
8,0Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Upload,428.0kbps,"7,5",416.0kbps,435.0kbps,,34064,2014
33,Tiscali,TuttoIncluso,"
20,0Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Download,"15,3Mbps","454,2","14,6Mbps","16,1Mbps",,41571,2014
34,Tiscali,TuttoIncluso,"
20,0Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Ping,23ms,"2,9", ,"
25ms
",0%,20821,2014
35,Tiscali,TuttoIncluso,"
20,0Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Upload,860.0kbps,"13,5",836.0kbps,869.0kbps,,41617,2014
36,Vodafone,"SuperADSL
","
8,0Mbps640.0kbps
",Piemonte,"
Gen2014Giu2014
",Download,"7,6Mbps","205,9","7,5Mbps","7,7Mbps",,32492,2014
37,Vodafone,"SuperADSL
","
8,0Mbps640.0kbps
",Piemonte,"
Gen2014Giu2014
",Ping,40ms,"2,9", ,"
41ms
",0%,15710,2014
38,Vodafone,"SuperADSL
","
8,0Mbps640.0kbps
",Piemonte,"
Gen2014Giu2014
",Upload,512.0kbps,"6,3",509.0kbps,520.0kbps,,32328,2014
39,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusive","
8,0Mbps512.0kbps
",Piemonte,"
Gen2014Giu2014
",Download,"6,7Mbps","110,2","6,6Mbps","6,7Mbps",,34918,2014
40,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusive","
8,0Mbps512.0kbps
",Piemonte,"
Gen2014Giu2014
",Ping,13ms,"3,9", ,"
18ms
",0%,17450,2014
41,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusive","
8,0Mbps512.0kbps
",Piemonte,"
Gen2014Giu2014
",Upload,403.0kbps,"27,3",368.0kbps,429.0kbps,,34919,2014
42,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
20,0Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Download,"16,6Mbps","123,1","16,5Mbps","16,8Mbps",,40198,2014
43,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
20,0Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Ping,11ms,"2,1", ,"
13ms
",0%,20094,2014
44,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
20,0Mbps1,0Mbps
",Piemonte,"
Gen2014Giu2014
",Upload,841.0kbps,"2,9",839.0kbps,843.0kbps,,40200,2014
45,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Piemonte,"
Lug2014Dic2014
",Download,"6,1Mbps","49,3","6,0Mbps","6,1Mbps",,12232,2014
46,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Piemonte,"
Lug2014Dic2014
",Ping,16ms,"1,6", ,"
17ms
",0%,6109,2014
47,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Piemonte,"
Lug2014Dic2014
",Upload,702.0kbps,"14,6",702.0kbps,705.0kbps,,12191,2014
48,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Download,"5,9Mbps","58,5","5,8Mbps","6,0Mbps",,20757,2014
49,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,23ms,"6,9", ,"
25ms
",0%,10356,2014
50,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Upload,214.0kbps,8,215.0kbps,216.0kbps,,20732,2014
51,Eolo,None,"
7,0Mbps384.0kbps
",Piemonte,"
Lug2014Dic2014
",Download,"6,1Mbps","863,5","4,5Mbps","6,8Mbps",,38621,2014
52,Eolo,None,"
7,0Mbps384.0kbps
",Piemonte,"
Lug2014Dic2014
",Ping,15ms,"2,8", ,"
19ms
",0%,19315,2014
53,Eolo,None,"
7,0Mbps384.0kbps
",Piemonte,"
Lug2014Dic2014
",Upload,382.0kbps,"44,7",376.0kbps,378.0kbps,,38633,2014
54,Eolo,Formula,"
7,0Mbps512.0kbps
",Piemonte,"
Lug2014Dic2014
",Download,"6,6Mbps","589,8","4,9Mbps","6,8Mbps",,42088,2014
55,Eolo,Formula,"
7,0Mbps512.0kbps
",Piemonte,"
Lug2014Dic2014
",Ping,13ms,"2,8", ,"
18ms
",0%,21042,2014
56,Eolo,Formula,"
7,0Mbps512.0kbps
",Piemonte,"
Lug2014Dic2014
",Upload,502.0kbps,"6,9",501.0kbps,503.0kbps,,42049,2014
57,Fastweb,"Superjet,Joy,Jet","
6,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,0ms,0, ,"
ms
",0%,0,2014
58,Fastweb,"Superjet,Joy,Jet","
8,2Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,0ms,0, ,"
ms
",0%,0,2014
59,Fastweb,"Superjet,Joy,Jet","
10,0Mbps10,2Mbps
",Piemonte,"
Lug2014Dic2014
",Download,"9,3Mbps","398,2","9,4Mbps","9,4Mbps",,36170,2014
60,Fastweb,"Superjet,Joy,Jet","
10,0Mbps10,2Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,7ms,"2,5", ,"
10ms
",0%,18893,2014
61,Fastweb,"Superjet,Joy,Jet","
10,0Mbps10,2Mbps
",Piemonte,"
Lug2014Dic2014
",Upload,"9,2Mbps","119,6","9,1Mbps","9,4Mbps",,36022,2014
62,Fastweb,"Superjet,Joy,Jet","
12,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Download,"10,3Mbps","686,2","10,2Mbps","10,4Mbps",,21579,2014
63,Fastweb,"Superjet,Joy,Jet","
12,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,11ms,"5,7", ,"
20ms
",0%,11318,2014
64,Fastweb,"Superjet,Joy,Jet","
12,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Upload,867.0kbps,"3,4",865.0kbps,869.0kbps,,21560,2014
65,Fastweb,"Superjet,Joy,Jet","
16,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,0ms,0, ,"
ms
",0%,0,2014
66,Fastweb,"Superjet,Joy,Jet","
20,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Download,"16,0Mbps","1984,5","15,5Mbps","16,6Mbps",,30159,2014
67,Fastweb,"Superjet,Joy,Jet","
20,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,30ms,"2,5", ,"
37ms
",0%,15494,2014
68,Fastweb,"Superjet,Joy,Jet","
20,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Upload,864.0kbps,"3,3",861.0kbps,865.0kbps,,30180,2014
69,TIM,TIMSuperADSL,"
7,0Mbps384.0kbps
",Piemonte,"
Lug2014Dic2014
",Download,"6,6Mbps","32,5","6,6Mbps","6,6Mbps",,42520,2014
70,TIM,TIMSuperADSL,"
7,0Mbps384.0kbps
",Piemonte,"
Lug2014Dic2014
",Ping,46ms,"2,9", ,"
46ms
",0%,21260,2014
71,TIM,TIMSuperADSL,"
7,0Mbps384.0kbps
",Piemonte,"
Lug2014Dic2014
",Upload,398.0kbps,"1,8",397.0kbps,398.0kbps,,42520,2014
72,TIM,TIMSuperADSL,"
10,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Download,"9,2Mbps","51,2","9,2Mbps","9,2Mbps",,42539,2014
73,TIM,TIMSuperADSL,"
10,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,31ms,"3,3", ,"
31ms
",0%,21270,2014
74,TIM,TIMSuperADSL,"
10,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Upload,964.0kbps,"4,8",961.0kbps,968.0kbps,,42540,2014
75,Tiscali,TuttoIncluso,"
7,0Mbps384.0kbps
",Piemonte,"
Lug2014Dic2014
",Ping,0ms,0, ,"
ms
",0%,0,2014
76,Tiscali,TuttoIncluso,"
8,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Download,"7,0Mbps","51,4","6,9Mbps","7,0Mbps",,19093,2014
77,Tiscali,TuttoIncluso,"
8,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,21ms,"57,7", ,"
20ms
",0%,9486,2014
78,Tiscali,TuttoIncluso,"
8,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Upload,426.0kbps,"7,5",414.0kbps,434.0kbps,,18992,2014
79,Tiscali,TuttoIncluso,"
20,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Download,"15,5Mbps",369,"14,8Mbps","15,9Mbps",,19427,2014
80,Tiscali,TuttoIncluso,"
20,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,22ms,"1,1", ,"
24ms
",0%,9740,2014
81,Tiscali,TuttoIncluso,"
20,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Upload,860.0kbps,"12,3",837.0kbps,868.0kbps,,19471,2014
82,Vodafone,"SuperADSL
","
8,0Mbps640.0kbps
",Piemonte,"
Lug2014Dic2014
",Download,"7,7Mbps","171,2","7,7Mbps","7,7Mbps",,42973,2014
83,Vodafone,"SuperADSL
","
8,0Mbps640.0kbps
",Piemonte,"
Lug2014Dic2014
",Ping,40ms,"0,9", ,"
41ms
",0%,21489,2014
84,Vodafone,"SuperADSL
","
8,0Mbps640.0kbps
",Piemonte,"
Lug2014Dic2014
",Upload,510.0kbps,"1,9",508.0kbps,510.0kbps,,42694,2014
85,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusive","
8,0Mbps512.0kbps
",Piemonte,"
Lug2014Dic2014
",Download,"6,7Mbps","32,6","6,7Mbps","6,7Mbps",,35150,2014
86,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusive","
8,0Mbps512.0kbps
",Piemonte,"
Lug2014Dic2014
",Ping,14ms,2, ,"
17ms
",0%,17560,2014
87,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusive","
8,0Mbps512.0kbps
",Piemonte,"
Lug2014Dic2014
",Upload,399.0kbps,"29,6",368.0kbps,429.0kbps,,35140,2014
88,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
20,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Download,"16,5Mbps","152,9","16,3Mbps","16,8Mbps",,29420,2014
89,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
20,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Ping,12ms,"1,9", ,"
15ms
",0%,14708,2014
90,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
20,0Mbps1,0Mbps
",Piemonte,"
Lug2014Dic2014
",Upload,841.0kbps,"1,2",839.0kbps,842.0kbps,,29420,2014
91,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Piemonte,"
Gen2015Giu2015
",Download,"6,1Mbps","80,8","6,0Mbps","6,1Mbps",,42045,2015
92,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Piemonte,"
Gen2015Giu2015
",Ping,16ms,"3,7", ,"
17ms
",0%,21030,2015
93,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Piemonte,"
Gen2015Giu2015
",Upload,690.0kbps,"46,7",624.0kbps,704.0kbps,,41779,2015
94,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Piemonte,"
Gen2015Giu2015
",Download,"6,0Mbps","71,3","5,9Mbps","6,0Mbps",,42268,2015
95,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Piemonte,"
Gen2015Giu2015
",Ping,23ms,"3,5", ,"
25ms
",0%,21132,2015
96,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Piemonte,"
Gen2015Giu2015
",Upload,214.0kbps,"7,7",215.0kbps,216.0kbps,,42204,2015
97,Eolo,Formula,"
7,0Mbps512.0kbps
",Piemonte,"
Gen2015Giu2015
",Download,"6,7Mbps",527,"6,2Mbps","6,9Mbps",,40917,2015
98,Eolo,Formula,"
7,0Mbps512.0kbps
",Piemonte,"
Gen2015Giu2015
",Ping,11ms,"3,1", ,"
18ms
",0%,20457,2015
99,Eolo,Formula,"
7,0Mbps512.0kbps
",Piemonte,"
Gen2015Giu2015
",Upload,502.0kbps,"12,4",501.0kbps,503.0kbps,,40920,2015
100,Eolo,Formula,"
20,0Mbps1,0Mbps
",Piemonte,"
Gen2015Giu2015
",Download,"7,0Mbps",556,"6,0Mbps","7,3Mbps",,36757,2015
101,Eolo,Formula,"
20,0Mbps1,0Mbps
",Piemonte,"
Gen2015Giu2015
",Ping,11ms,"2,3", ,"
16ms
",0%,18339,2015
102,Eolo,Formula,"
20,0Mbps1,0Mbps
",Piemonte,"
Gen2015Giu2015
",Upload,767.0kbps,"76,4",599.0kbps,815.0kbps,,36754,2015
103,Fastweb,"Superjet,Joy,Jet","
6,0Mbps1,0Mbps
",Piemonte,"
Gen2015Giu2015
",Ping,0ms,0, ,"
ms
",0%,0,2015
104,Fastweb,"Superjet,Joy,Jet","
8,2Mbps1,0Mbps
",Piemonte,"
Gen2015Giu2015
",Ping,0ms,0, ,"
ms
",0%,0,2015
105,Fastweb,"Superjet,Joy,Jet","
10,0Mbps10,2Mbps
",Piemonte,"
Gen2015Giu2015
",Download,"9,4Mbps","215,7","9,4Mbps","9,4Mbps",,39598,2015
106,Fastweb,"Superjet,Joy,Jet","
10,0Mbps10,2Mbps
",Piemonte,"
Gen2015Giu2015
",Ping,7ms,"2,8", ,"
9ms
",0%,19804,2015
107,Fastweb,"Superjet,Joy,Jet","
10,0Mbps10,2Mbps
",Piemonte,"
Gen2015Giu2015
",Upload,"9,2Mbps","136,5","9,1Mbps","9,4Mbps",,39574,2015
108,Fastweb,"Superjet,Joy,Jet","
12,0Mbps1,0Mbps
",Piemonte,"
Gen2015Giu2015
",Download,"10,4Mbps","277,1","10,3Mbps","10,4Mbps",,37640,2015
109,Fastweb,"Superjet,Joy,Jet","
12,0Mbps1,0Mbps
",Piemonte,"
Gen2015Giu2015
",Ping,11ms,"3,3", ,"
12ms
",0%,18936,2015
110,Fastweb,"Superjet,Joy,Jet","
12,0Mbps1,0Mbps
",Piemonte,"
Gen2015Giu2015
",Upload,867.0kbps,"1,5",865.0kbps,869.0kbps,,37625,2015
111,Fastweb,"Superjet,Joy,Jet","
16,0Mbps1,0Mbps
",Piemonte,"
Gen2015Giu2015
",Ping,0ms,0, ,"
ms
",0%,0,2015
112,Fastweb,"Superjet,Joy,Jet","
20,0Mbps1,0Mbps
",Piemonte,"
Gen2015Giu2015
",Download,"15,4Mbps","2561,9","8,6Mbps","16,6Mbps",,37878,2015
113,Fastweb,"Superjet,Joy,Jet","
20,0Mbps1,0Mbps
",Piemonte,"
Gen2015Giu2015
",Ping,30ms,"2,8", ,"
32ms
",0%,18952,2015
114,Fastweb,"Superjet,Joy,Jet","
20,0Mbps1,0Mbps
",Piemonte,"
Gen2015Giu2015
",Upload,864.0kbps,"2,7",862.0kbps,865.0kbps,,37854,2015
115,TIM,TIMSuperADSL,"
7,0Mbps384.0kbps
",Piemonte,"
Gen2015Giu2015
",Download,"6,6Mbps","35,7","6,5Mbps","6,6Mbps",,41640,2015
116,TIM,TIMSuperADSL,"
7,0Mbps384.0kbps
",Piemonte,"
Gen2015Giu2015
",Ping,46ms,"3,7", ,"
46ms
",0%,20819,2015
117,TIM,TIMSuperADSL,"
7,0Mbps384.0kbps
",Piemonte,"
Gen2015Giu2015
",Upload,397.0kbps,"9,2",395.0kbps,398.0kbps,,41640,2015
118,TIM,TIMSuperADSL,"
10,0Mbps1,0Mbps
",Piemonte,"
Gen2015Giu2015
",Download,"9,2Mbps","68,3","9,2Mbps","9,2Mbps",,41380,2015
119,TIM,TIMSuperADSL,"
10,0Mbps1,0Mbps
",Piemonte,"
Gen2015Giu2015
",Ping,31ms,"3,7", ,"
31ms
",0%,20679,2015
120,TIM,TIMSuperADSL,"
10,0Mbps1,0Mbps
",Piemonte,"
Gen2015Giu2015
",Upload,964.0kbps,"6,1",959.0kbps,968.0kbps,,41376,2015
121,Vodafone,"SuperADSL
","
8,0Mbps640.0kbps
",Piemonte,"
Gen2015Giu2015
",Download,"7,7Mbps","63,6","7,7Mbps","7,7Mbps",,41906,2015
122,Vodafone,"SuperADSL
","
8,0Mbps640.0kbps
",Piemonte,"
Gen2015Giu2015
",Ping,40ms,"0,9", ,"
41ms
",0%,20950,2015
123,Vodafone,"SuperADSL
","
8,0Mbps640.0kbps
",Piemonte,"
Gen2015Giu2015
",Upload,510.0kbps,"2,1",509.0kbps,510.0kbps,,41732,2015
124,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusive","
8,0Mbps512.0kbps
",Piemonte,"
Gen2015Giu2015
",Download,"6,7Mbps","28,1","6,7Mbps","6,7Mbps",,29399,2015
125,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusive","
8,0Mbps512.0kbps
",Piemonte,"
Gen2015Giu2015
",Ping,14ms,"1,9", ,"
16ms
",0%,14700,2015
126,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusive","
8,0Mbps512.0kbps
",Piemonte,"
Gen2015Giu2015
",Upload,427.0kbps,"0,7",426.0kbps,427.0kbps,,29399,2015
127,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
20,0Mbps1,0Mbps
",Piemonte,"
Gen2015Giu2015
",Download,"16,3Mbps","48,4","16,2Mbps","16,4Mbps",,1880,2015
128,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
20,0Mbps1,0Mbps
",Piemonte,"
Gen2015Giu2015
",Ping,16ms,"2,3", ,"
17ms
",0%,940,2015
129,Wind,"WindHomeADSL,3ADSL,AbsoluteADSL,AllInclusive,AllInclusiveUnlimited,ADSL20MEGA","
20,0Mbps1,0Mbps
",Piemonte,"
Gen2015Giu2015
",Upload,837.0kbps,"2,4",837.0kbps,838.0kbps,,1880,2015
130,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Piemonte,"
Lug2015Dic2015
",Download,"6,1Mbps","49,6","6,0Mbps","6,1Mbps",,30464,2015
131,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Piemonte,"
Lug2015Dic2015
",Ping,16ms,"1,8", ,"
16ms
",0%,15250,2015
132,BritishTelecom,"BTADSL7Mega,VipPremium,VipDuet,VipAssolo","
7,0Mbps832.0kbps
",Piemonte,"
Lug2015Dic2015
",Upload,672.0kbps,"111,1",328.0kbps,705.0kbps,,29658,2015
133,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Piemonte,"
Lug2015Dic2015
",Download,"6,0Mbps",116,"5,9Mbps","6,0Mbps",,30975,2015
134,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Piemonte,"
Lug2015Dic2015
",Ping,24ms,2, ,"
25ms
",0%,15489,2015
135,BritishTelecom,"VipClub7Mega,VipSmart7Mega,VipDuet,VipAssolo","
7,0Mbps1,0Mbps
",Piemonte,"
Lug2015Dic2015
",Upload,214.0kbps,"7,3",215.0kbps,216.0kbps,,30980,2015
136,Eolo,Formula,"
7,0Mbps512.0kbps
",Piemonte,"
Lug2015Dic2015
",Download,"6,4Mbps","958,6","4,0Mbps","6,9Mbps",,11778,2015
137,Eolo,Formula,"
7,0Mbps512.0kbps
",Piemonte,"
Lug2015Dic2015
",Ping,11ms,"1,5", ,"
13ms
",0%,5885,2015
138,Eolo,Formula,"
7,0Mbps512.0kbps
",Piemonte,"
Lug2015Dic2015
",Upload,501.0kbps,"3,5",499.0kbps,502.0kbps,,11780,2015
139,Eolo,Formula,"
20,0Mbps1,0Mbps
",Piemonte,"
Lug2015Dic2015
",Download,"6,7Mbps","934,4","4,5Mbps","7,3Mbps",,11879,2015
140,Eolo,Formula,"
20,0Mbps1,0Mbps
",Piemonte,"
Lug2015Dic2015
",Ping,11ms,"1,4", ,"
13ms
",0%,5933,2015
141,Eolo,Formula,"
20,0Mbps1,0Mbps
",Piemonte,"
Lug2015Dic2015
",Upload,780.0kbps,"22,8",700.0kbps,787.0kbps,,11880,2015
